
Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0035970~peptidyl-threonine dephosphorylation	2	5.0	0.021037435964299998	NM_013642, NM_176833	33	12	18082	91.3232323232	0.9942962755670001	0.9942962755670001	24.0410969307
GOTERM_BP_DIRECT	GO:0006412~translation	4	10.0	0.0333893553431	NM_026498, NM_001190356, NM_198246, NM_025500	33	401	18082	5.46572961536	0.9997393052150001	0.983853954496	35.5444886394
GOTERM_BP_DIRECT	GO:0032259~methylation	3	7.5	0.0358592791629	NM_026510, NM_001164559, NM_026197	33	169	18082	9.726734803660001	0.999860001469	0.948075240623	37.642356286900004
GOTERM_BP_DIRECT	GO:0045862~positive regulation of proteolysis	2	5.0	0.038240542944099995	NM_007523, NM_031165	33	22	18082	49.8126721763	0.999923237148	0.906397429341	39.605099113
GOTERM_BP_DIRECT	GO:0033137~negative regulation of peptidyl-serine phosphorylation	2	5.0	0.0433441146075	NM_007523, NM_176833	33	25	18082	43.8351515152	0.9999789308660001	0.883927500709	43.621179187399996
GOTERM_BP_DIRECT	GO:0007420~brain development	3	7.5	0.055737113709199995	NM_008287, NM_007523, NM_010904	33	216	18082	7.610269360269999	0.9999991137019999	0.901991605889	52.3701512271
GOTERM_BP_DIRECT	GO:0007049~cell cycle	4	10.0	0.0935432193673	NM_029377, NM_139291, NM_013642, NM_025890	33	614	18082	3.56963774553	0.9999999999570001	0.966937543934	71.92147501779999
GOTERM_BP_DIRECT	GO:0042542~response to hydrogen peroxide	2	5.0	0.0977799750065	NM_007523, NM_013642	33	58	18082	18.89446186	0.9999999999860001	0.956084681433	73.57223150729999
GOTERM_BP_DIRECT	GO:0017148~negative regulation of translation	2	5.0	0.118389921939	NM_008287, NM_007570	33	71	18082	15.4349125053	1.0	0.966698273799	80.3995074558
GOTERM_BP_DIRECT	GO:0014070~response to organic cyclic compound	2	5.0	0.13239038487	NM_007523, NM_007570	33	80	18082	13.6984848485	1.0	0.968283748022	84.0648923288
