Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	40	57.1428571429	1.1507235404e-63	NM_033251, NM_001260506, NM_001021, NM_001034996, NM_007104, NM_022551, NM_001017, NM_001016, NM_000989, NM_001019, NM_001025071, NM_001012, NM_000967, NM_001015, NM_000968, NM_053275, NM_001321485, NM_001330200, NM_001009, NM_001321702, NM_001303625, NM_001030001, NM_002952, NM_001320141, NM_001007, NM_002954, NM_001008, NM_001028, NM_001315530, NM_000999, NM_000978, NM_001025, NM_000976, NM_001024, NM_001010, NM_001316311, NM_000975, NM_000990, NM_000972, NM_000997	67	78	7039	53.8767699962	4.03903962682e-61	4.03903962682e-61	1.57448792203e-60
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	41	58.5714285714	3.43704250968e-60	NM_033251, NM_001260506, NM_001021, NM_001034996, NM_007104, NM_022551, NM_001017, NM_001016, NM_000989, NM_001019, NM_001025071, NM_001012, NM_000967, NM_001015, NM_000968, NM_053275, NM_001321485, NM_001568, NM_001330200, NM_001009, NM_001321702, NM_001303625, NM_001030001, NM_002952, NM_001320141, NM_001007, NM_002954, NM_001008, NM_001028, NM_001315530, NM_000999, NM_000978, NM_001025, NM_000976, NM_001024, NM_001010, NM_001316311, NM_000975, NM_000990, NM_000972, NM_000997	67	101	7039	42.6479976356	1.2064019209e-57	6.03200960449e-58	4.70276459026e-57
GOTERM_BP_DIRECT	GO:0019083~viral transcription	40	57.1428571429	1.66804050359e-59	NM_033251, NM_001260506, NM_001021, NM_001034996, NM_007104, NM_022551, NM_001017, NM_001016, NM_000989, NM_001019, NM_001025071, NM_001012, NM_000967, NM_001015, NM_000968, NM_053275, NM_001321485, NM_001330200, NM_001009, NM_001321702, NM_001303625, NM_001030001, NM_002952, NM_001320141, NM_001007, NM_002954, NM_001008, NM_001028, NM_001315530, NM_000999, NM_000978, NM_001025, NM_000976, NM_001024, NM_001010, NM_001316311, NM_000975, NM_000990, NM_000972, NM_000997	67	94	7039	44.7062559543	5.85482216761e-57	1.9516073892e-57	2.28231154934e-56
GOTERM_BP_DIRECT	GO:0006413~translational initiation	41	58.5714285714	2.07034745836e-57	NM_033251, NM_001260506, NM_001021, NM_001034996, NM_007104, NM_022551, NM_001017, NM_001016, NM_000989, NM_001019, NM_001025071, NM_001012, NM_000967, NM_001015, NM_000968, NM_053275, NM_001321485, NM_001568, NM_001330200, NM_001009, NM_001321702, NM_001303625, NM_001030001, NM_002952, NM_001320141, NM_001007, NM_002954, NM_001008, NM_001028, NM_001315530, NM_000999, NM_000978, NM_001025, NM_000976, NM_001024, NM_001010, NM_001316311, NM_000975, NM_000990, NM_000972, NM_000997	67	115	7039	37.4560674886	7.26691957884e-55	1.81672989471e-55	2.83277168941e-54
KEGG_PATHWAY	hsa03010:Ribosome	41	58.5714285714	3.08236625144e-50	NM_016067, NM_033251, NM_001260506, NM_001021, NM_001034996, NM_007104, NM_022551, NM_001017, NM_001016, NM_000989, NM_001019, NM_001025071, NM_001012, NM_000967, NM_001015, NM_000968, NM_053275, NM_001321485, NM_001330200, NM_001009, NM_001321702, NM_001303625, NM_001030001, NM_002952, NM_001320141, NM_001007, NM_002954, NM_001008, NM_001028, NM_001315530, NM_000999, NM_000978, NM_001025, NM_000976, NM_001024, NM_001010, NM_001316311, NM_000975, NM_000990, NM_000972, NM_000997	53	114	3107	21.0835815955	1.078828188e-48	1.078828188e-48	2.73024327494e-47
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	40	57.1428571429	1.02389872669e-49	NM_016067, NM_033251, NM_001260506, NM_001021, NM_001034996, NM_007104, NM_022551, NM_001017, NM_001016, NM_000989, NM_001019, NM_001025071, NM_001012, NM_000967, NM_001015, NM_000968, NM_053275, NM_001321485, NM_001330200, NM_001009, NM_001321702, NM_001303625, NM_001030001, NM_002952, NM_001320141, NM_001007, NM_002954, NM_001008, NM_001315530, NM_000999, NM_000978, NM_001025, NM_000976, NM_001024, NM_001010, NM_001316311, NM_000975, NM_000990, NM_000972, NM_000997	65	160	7107	27.3346153846	9.93181764891e-48	9.93181764891e-48	1.12993903845e-46
GOTERM_BP_DIRECT	GO:0006412~translation	41	58.5714285714	6.90315439831e-48	NM_016067, NM_033251, NM_001260506, NM_001021, NM_001034996, NM_007104, NM_022551, NM_001017, NM_001016, NM_000989, NM_001019, NM_001025071, NM_001012, NM_000967, NM_001015, NM_000968, NM_053275, NM_001321485, NM_001330200, NM_001009, NM_001321702, NM_001303625, NM_001030001, NM_002952, NM_001320141, NM_001007, NM_002954, NM_001008, NM_001028, NM_001315530, NM_000999, NM_000978, NM_001025, NM_000976, NM_001024, NM_001010, NM_001316311, NM_000975, NM_000990, NM_000972, NM_000997	67	185	7039	23.2835014119	2.42300719381e-45	4.84601438761e-46	9.44530362195e-45
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	40	57.1428571429	2.99808140217e-46	NM_033251, NM_001260506, NM_001021, NM_001034996, NM_007104, NM_022551, NM_001017, NM_001016, NM_000989, NM_001019, NM_001025071, NM_001012, NM_000967, NM_001015, NM_000968, NM_053275, NM_001321485, NM_001330200, NM_001009, NM_001321702, NM_001303625, NM_001030001, NM_002952, NM_001320141, NM_001007, NM_002954, NM_001008, NM_001028, NM_001315530, NM_000999, NM_000978, NM_001025, NM_000976, NM_001024, NM_001010, NM_001316311, NM_000975, NM_000990, NM_000972, NM_000997	67	183	7039	22.9638691787	1.05232657216e-43	1.75387762027e-44	4.10215207322e-43
GOTERM_CC_DIRECT	GO:0005840~ribosome	37	52.8571428571	7.1904420873e-46	NM_016067, NM_033251, NM_001260506, NM_001021, NM_001034996, NM_007104, NM_022551, NM_001017, NM_000989, NM_001019, NM_001025071, NM_001012, NM_000967, NM_001015, NM_000968, NM_053275, NM_001321485, NM_001330200, NM_001321702, NM_001303625, NM_001030001, NM_002952, NM_001320141, NM_001007, NM_001008, NM_002954, NM_001028, NM_000999, NM_000978, NM_001025, NM_001024, NM_001010, NM_001316311, NM_000975, NM_000990, NM_000972, NM_000997	68	140	7347	28.5545168067	6.32758903683e-44	6.32758903683e-44	7.78839019737e-43
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	22	31.4285714286	2.23930228416e-35	NM_001009, NM_016067, NM_001260506, NM_001321702, NM_001021, NM_001030001, NM_002952, NM_001007, NM_001008, NM_002954, NM_022551, NM_001017, NM_001016, NM_001019, NM_001025071, NM_001028, NM_001025, NM_001012, NM_001015, NM_001024, NM_001010, NM_001321485	68	36	7347	66.0269607843	1.97058601006e-33	9.8529300503e-34	2.42551984247e-32
