Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005634~nucleus	76	46.0606060606	2.54688175e-07	NM_001252554, NM_001080775, NM_010213, NM_001033425, NM_144802, NM_029231, NM_148932, NM_078477, NM_001164559, NM_011221, NM_013632, NM_025346, NM_057171, NM_013633, NM_007872, NM_001109626, NM_011956, NM_001199733, NM_009834, NM_001081214, NM_172625, NM_138659, NM_183178, NM_172268, NM_025479, NM_025536, NM_010137, NM_019740, NM_177367, NM_011588, NM_181821, NM_145431, NM_146092, NM_025639, NM_172265, NM_001163564, NM_026175, NM_133687, NM_013560, NM_001123371, NM_139291, NM_011640, NM_133878, NM_011790, NM_025567, NM_001253695, NM_010705, NM_133693, NM_009292, NM_001163571, NM_145620, NM_173013, NM_009319, NM_178087, NM_011639, NM_001163166, NM_153287, NM_010444, NM_145830, NM_020603, NM_023633, NM_023479, NM_198425, NM_001271730, NM_025297, NM_026538, NM_001190474, NM_010904, NM_001110330, NM_025514, NM_001163308, NM_145414, NM_029497, NM_153580, NM_172302, NM_009086	149	6019	19662	1.66621358985	6.01046105984e-05	6.01046105984e-05	0.000327862559224
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	27	16.3636363636	3.00705372095e-07	NM_026175, NM_013560, NM_007988, NM_029231, NM_144802, NM_201226, NM_001164559, NM_011221, NM_010705, NM_133693, NM_145620, NM_013633, NM_011639, NM_026340, NM_001081214, NM_020603, NM_138659, NM_023479, NM_144858, NM_026538, NM_011588, NM_029497, NM_145414, NM_007984, NM_001080999, NM_172302, NM_001163564	135	1113	17446	3.13495058401	9.98292152622e-05	9.98292152622e-05	0.000408038323985
GOTERM_CC_DIRECT	GO:0005730~nucleolus	22	13.3333333333	1.38944077452e-06	NM_001080775, NM_001109626, NM_001199733, NM_145830, NM_020603, NM_172625, NM_011640, NM_029231, NM_023633, NM_026538, NM_177367, NM_011588, NM_145414, NM_029497, NM_153580, NM_145431, NM_145620, NM_013633, NM_001163571, NM_173013, NM_009086, NM_178087	149	842	19662	3.44787897145	0.000327854494563	0.000163940685556	0.00178862854338
GOTERM_MF_DIRECT	GO:0003723~RNA binding	19	11.5151515152	2.93442423835e-05	NM_026175, NM_009834, NM_001081214, NM_138659, NM_144802, NM_201226, NM_023633, NM_026538, NM_001164559, NM_001081158, NM_011221, NM_145414, NM_133693, NM_025890, NM_001080999, NM_145620, NM_009319, NM_172302, NM_001163564	135	780	17446	3.14790123457	0.00969512767166	0.00485937057703	0.0398110286806
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	29	17.5757575758	7.69975067222e-05	NM_007988, NM_027244, NM_001031667, NM_011640, NM_010236, NM_011467, NM_001163456, NM_023538, NM_001005419, NM_178693, NM_025567, NM_001164559, NM_025848, NM_029272, NM_177910, NM_011690, NM_145427, NM_172669, NM_029083, NM_018819, NM_023479, NM_053163, NM_144874, NM_025297, NM_019800, NM_010904, NM_019740, NM_001039824, NM_053071	149	1721	19662	2.22360965413	0.0180079940085	0.00603906151815	0.0990744924407
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	16	9.69696969697	0.000327673644337	NM_009658, NM_133186, NM_007988, NM_145954, NM_027244, NM_023633, NM_011467, NM_144874, NM_001005419, NM_144858, NM_025297, NM_025567, NM_001039824, NM_025848, NM_029272, NM_025330	145	676	18082	2.95156090594	0.255922484183	0.255922484183	0.509687268455
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	30	18.1818181818	0.000379173518825	NM_001033425, NM_011640, NM_029231, NM_078477, NM_001253695, NM_011221, NM_009292, NM_013633, NM_178087, NM_027901, NM_011639, NM_001163166, NM_001081381, NM_153287, NM_007872, NM_010444, NM_001199733, NM_001081214, NM_172625, NM_023633, NM_198425, NM_001271730, NM_025536, NM_001190474, NM_010137, NM_019740, NM_001110330, NM_001163308, NM_011588, NM_009086	145	1885	18082	1.98467026434	0.289708174668	0.157211873997	0.589572465116
KEGG_PATHWAY	mmu01100:Metabolic pathways	23	13.9393939394	0.000465596519638	NM_009658, NM_007872, NM_007988, NM_211138, NM_001123371, NM_027244, NM_010236, NM_011467, NM_144874, NM_028779, NM_023538, NM_001005419, NM_025297, NM_025567, NM_026494, NM_025848, NM_029272, NM_013632, NM_177910, NM_009698, NM_025954, NM_053071, NM_009086	66	1269	7691	2.11205434964	0.0490522250566	0.0490522250566	0.52301142129
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	14	8.48484848485	0.000642433154912	NM_145478, NM_001271730, NM_153287, NM_133186, NM_010444, NM_029083, NM_001190474, NM_019740, NM_001199733, NM_011221, NM_011640, NM_057171, NM_173013, NM_178087	145	570	18082	3.06289171204	0.439911752234	0.175699645381	0.996996716231
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	11	6.66666666667	0.000713191308095	NM_144874, NM_178693, NM_025567, NM_025848, NM_029272, NM_018819, NM_027244, NM_010705, NM_010236, NM_053071, NM_001163456	149	387	19662	3.75079340305	0.154961589969	0.0412196770857	0.914222367138
