Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007050~cell cycle arrest	6	4.615384615380001	0.00887470825985	NM_000076, NM_001318236, NM_001195056, NM_006885, NM_001291549, NM_001206864	101	90	7039	4.64620462046	0.989202882761	0.989202882761	12.0723996984
GOTERM_BP_DIRECT	GO:0033617~mitochondrial respiratory chain complex IV assembly	3	2.3076923076900004	0.0101096528234	NM_032309, NM_005694, NM_016565	101	11	7039	19.0072007201	0.994268855483	0.9242956770280001	13.640437178800001
GOTERM_BP_DIRECT	GO:0006342~chromatin silencing	4	3.0769230769200004	0.0102376669137	NM_003511, NM_003510, NM_033445, NM_021064	101	32	7039	8.71163366337	0.994633286613	0.8249201628309999	13.8014821211
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	9	6.923076923080001	0.0258830871035	NM_000076, NM_001195056, NM_006848, NM_133328, NM_006885, NM_021008, NM_001002880, NM_145901, NM_183013	101	251	7039	2.49895467634	0.99999836156	0.964222693871	31.5097313052
GOTERM_BP_DIRECT	GO:0071479~cellular response to ionizing radiation	3	2.3076923076900004	0.041653447853	NM_001291549, NM_001257097, NM_001040011	101	23	7039	9.09040034438	0.9999999995890001	0.986735386259	45.8842431724
GOTERM_BP_DIRECT	GO:0030262~apoptotic nuclear changes	2	1.5384615384600002	0.042022963589000005	NM_133328, NM_030974	101	3	7039	46.4620462046	0.9999999996619999	0.9736124929600001	46.18461064979999
GOTERM_BP_DIRECT	GO:0043068~positive regulation of programmed cell death	2	1.5384615384600002	0.0556383279496	NM_004052, NM_001291549	101	4	7039	34.8465346535	1.0	0.984305238497	56.2293526213
GOTERM_BP_DIRECT	GO:0045662~negative regulation of myoblast differentiation	2	1.5384615384600002	0.08229691970660001	NM_001195056, NM_006885	101	6	7039	23.2310231023	1.0	0.995718568218	71.04674495270001
GOTERM_BP_DIRECT	GO:0009953~dorsal/ventral pattern formation	2	1.5384615384600002	0.0953454492157	NM_002145, NM_024326	101	7	7039	19.912305516300002	1.0	0.9965030111	76.4530136835
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	4	3.0769230769200004	0.09889602024380001	NM_001016, NM_033625, NM_000992, NM_007104	101	78	7039	3.5740035542000004	1.0	0.994958435651	77.7522298792
-	-	-	-	-	-	-	-	-	-	-	-	-
GOTERM_CC_DIRECT	GO:0000786~nucleosome	6	4.615384615380001	0.0041461635541199995	NM_003532, NM_003511, NM_003510, NM_003522, NM_021064, NM_003528	113	70	7347	5.57294563843	0.445661155557	0.445661155557	4.7956211058300005
GOTERM_CC_DIRECT	GO:0005758~mitochondrial intermembrane space	5	3.84615384615	0.0108733311561	NM_032309, NM_005694, NM_001320327, NM_016565, NM_001011667	113	57	7347	5.70330693992	0.78827534728	0.539864527862	12.1305477069
GOTERM_CC_DIRECT	GO:0000788~nuclear nucleosome	4	3.0769230769200004	0.0113661081555	NM_003532, NM_003522, NM_033445, NM_003528	113	31	7347	8.38938053097	0.8027394501970001	0.417878803829	12.6469518555
GOTERM_CC_DIRECT	GO:0005667~transcription factor complex	5	3.84615384615	0.0375138254094	NM_006885, NM_021008, NM_005574, NM_145901, NM_183013	113	83	7347	3.9167288623500003	0.995614501304	0.74266151103	36.381381204200004
-	-	-	-	-	-	-	-	-	-	-	-	-
GOTERM_MF_DIRECT	GO:0046982~protein heterodimerization activity	12	9.230769230770001	0.000999576817214	NM_004322, NM_003532, NM_001195056, NM_003511, NM_004052, NM_003510, NM_003522, NM_033445, NM_001320415, NM_021064, NM_003528, NM_019896	110	238	7107	3.25760122231	0.14871844491699998	0.14871844491699998	1.20158828498
GOTERM_MF_DIRECT	GO:0043565~sequence-specific DNA binding	7	5.38461538462	0.0281705759392	NM_001320557, NM_001195056, NM_002145, NM_002360, NM_001320327, NM_001320415, NM_183013	110	151	7107	2.99512341963	0.989953909358	0.8997698117209999	29.2067570359
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	12	9.230769230770001	0.0338816633703	NM_007109, NM_001320557, NM_006563, NM_001195056, NM_003083, NM_006885, NM_002145, NM_021008, NM_002360, NM_001320415, NM_145901, NM_183013	110	386	7107	2.00857277438	0.996110602603	0.8427366800480001	34.0749276617
GOTERM_MF_DIRECT	GO:0004861~cyclin-dependent protein serine/threonine kinase inhibitor activity	2	1.5384615384600002	0.0885949059145	NM_000076, NM_001291549	110	6	7107	21.536363636399997	0.999999673755	0.976100658854	67.4161109047
-	-	-	-	-	-	-	-	-	-	-	-	-
KEGG_PATHWAY	hsa05322:Systemic lupus erythematosus	7	5.38461538462	0.0006352402787459999	NM_003532, NM_003511, NM_003510, NM_003522, NM_033445, NM_021064, NM_003528	45	77	3107	6.27676767677	0.0513749862232	0.0513749862232	0.6781634696019999
KEGG_PATHWAY	hsa05034:Alcoholism	7	5.38461538462	0.00250353287812	NM_003532, NM_003511, NM_003510, NM_003522, NM_033445, NM_021064, NM_003528	45	100	3107	4.83311111111	0.18783663644999998	0.0987989327847	2.64860268242
KEGG_PATHWAY	hsa05202:Transcriptional misregulation in cancer	5	3.84615384615	0.0285682918328	NM_003532, NM_001195056, NM_001291549, NM_001320415, NM_005574	45	83	3107	4.159303882200001	0.909797447517	0.551523584772	26.6833997879
-	-	-	-	-	-	-	-	-	-	-	-	-
