Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	66	15.3846153846	6.17200423641e-14	NM_202002, NM_017617, NM_005647, NM_003185, NM_005093, NM_000945, NM_016457, NM_002586, NM_194071, NM_001964, NM_005955, NM_205843, NM_012102, NM_001318240, NM_006196, NM_001282662, NM_198055, NM_031449, NM_003482, NM_138714, NM_003298, NM_018263, NM_001005291, NM_001009944, NM_018416, NM_005920, NM_001001890, NM_014389, NM_001171167, NM_002657, NM_001421, NM_001330331, NM_001080547, NM_000660, NM_005334, NM_001317946, NM_001429, NM_181715, NM_002616, NM_022465, NM_001197104, NM_032482, NM_024680, NM_001308142, NM_006037, NM_004380, NM_004229, NM_001987, NM_014757, NM_001278669, NM_020338, NM_003036, NM_022893, NM_001145661, NM_001099402, NM_021975, NM_030665, NM_058243, NM_001287491, NM_001204, NM_015062, NM_012340, NM_001080424, NM_001128844, NM_000118, NM_001291920	388	441	7039	2.71509222246	1.29814825556e-10	1.29814825556e-10	1.0674794381799998e-10
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	50	11.655011655	1.4029212191e-09	NM_015001, NM_202002, NM_005647, NM_017617, NM_003407, NM_001276252, NM_006015, NM_001003699, NM_001304815, NM_001964, NM_006885, NM_015898, NM_001195470, NM_205843, NM_012102, NM_198055, NM_014943, NM_001005291, NM_001007026, NM_006378, NM_006856, NM_000660, NM_005334, NM_001080547, NM_001429, NM_002616, NM_020899, NM_005030, NM_001202543, NM_024680, NM_006037, NM_004380, NM_020699, NM_017721, NM_001987, NM_003036, NM_022893, NM_001123385, NM_001145661, NM_153813, NM_001033561, NM_021975, NM_006312, NM_031923, NM_012340, NM_001972, NM_000118, NM_001128844, NM_001973, NM_001291920	388	357	7039	2.54086170551	2.95033898312e-06	1.4751705795799999e-06	2.42621429614e-06
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	82	19.1142191142	1.91013754449e-05	NM_194278, NM_015001, NM_202002, NM_005647, NM_005093, NM_006015, NM_001105537, NM_014727, NM_002586, NM_001304815, NM_014516, NM_014712, NM_015898, NM_001244580, NM_001195470, NM_003110, NM_205843, NM_005653, NM_012102, NM_198055, NM_001282662, NM_001014443, NM_031449, NM_001433, NM_003482, NM_003685, NM_014943, NM_003298, NM_002918, NM_018263, NM_014630, NM_001007026, NM_019589, NM_004831, NM_033113, NM_004630, NM_005187, NM_005920, NM_014389, NM_001896, NM_006662, NM_006856, NM_001317946, NM_005078, NM_181715, NM_014938, NM_002616, NM_022465, NM_020899, NM_001079843, NM_001301132, NM_001202543, NM_024680, NM_001308142, NM_006037, NM_018028, NM_020699, NM_020807, NM_017721, NM_012231, NM_020338, NM_014755, NM_003036, NM_022893, NM_001123385, NM_001145661, NM_001033561, NM_153813, NM_007371, NM_000635, NM_058243, NM_006312, NM_017759, NM_170606, NM_001282531, NM_031370, NM_015062, NM_001300942, NM_001128844, NM_001973, NM_001291920, NM_001037165	388	947	7039	1.5708803709999999	0.0393744347001	0.0133009422525	0.0330288106742
GOTERM_BP_DIRECT	GO:0006366~transcription from RNA polymerase II promoter	31	7.226107226110001	1.92929272798e-05	NM_021228, NM_202002, NM_001171167, NM_001421, NM_002657, NM_003185, NM_001080547, NM_005334, NM_001003699, NM_001429, NM_194071, NM_001197104, NM_001964, NM_006885, NM_005955, NM_205843, NM_001987, NM_198055, NM_001278669, NM_001145661, NM_000937, NM_001099402, NM_138714, NM_021975, NM_031923, NM_001204, NM_018416, NM_005920, NM_001001890, NM_012340, NM_005641	388	241	7039	2.3335864311099996	0.0397613363608	0.010092084043700001	0.0333599771346
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	31	7.226107226110001	8.80894878716e-05	NM_202002, NM_017617, NM_005647, NM_001421, NM_003185, NM_001330331, NM_006015, NM_001080547, NM_000660, NM_001003699, NM_001316332, NM_194071, NM_004714, NM_001197104, NM_001964, NM_006885, NM_004380, NM_006037, NM_004229, NM_001318240, NM_001014443, NM_001278669, NM_014755, NM_021975, NM_030665, NM_031370, NM_018416, NM_012340, NM_001001890, NM_001128844, NM_001037165	388	261	7039	2.1547675475	0.169112068359	0.036374042511900004	0.152232827145
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	19	4.4289044289	0.000472477751074	NM_004639, NM_013318, NM_003486, NM_017617, NM_001421, NM_001317946, NM_031407, NM_003298, NM_004638, NM_015898, NM_001150, NM_004383, NM_032172, NM_005475, NM_024299, NM_001294, NM_001973, NM_001987, NM_001037165	388	137	7039	2.51600948153	0.629853170772	0.152650965562	0.813966120611
GOTERM_BP_DIRECT	GO:0061158~3'-UTR-mediated mRNA destabilization	5	1.1655011655	0.00052767904273	NM_003407, NM_031370, NM_003685, NM_004926, NM_006887	388	8	7039	11.3385953608	0.670441670029	0.14663822627	0.9086564202490001
GOTERM_BP_DIRECT	GO:0021915~neural tube development	6	1.3986013986	0.000648237305392	NM_001009944, NM_001084, NM_017617, NM_004926, NM_001286577, NM_000660	388	14	7039	7.77503681885	0.74428330227	0.156723717223	1.1151616585
GOTERM_BP_DIRECT	GO:0007399~nervous system development	12	2.7972027972	0.0021946905700100006	NM_001308363, NM_003486, NM_004756, NM_000391, NM_005920, NM_006037, NM_001317946, NM_001128844, NM_006387, NM_019884, NM_001429, NM_003298	388	74	7039	2.94190582335	0.990152192292	0.401536416317	3.72839076648
GOTERM_BP_DIRECT	GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway	4	0.932400932401	0.00291166516196	NM_002332, NM_152879, NM_001105540, NM_013324	388	6	7039	12.0945017182	0.997828123151	0.458393934256	4.91774591661
-	-	-	-	-	-	-	-	-	-	-	-	-
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	30	6.993006993010002	0.000240603823409	NM_001001396, NM_013437, NM_001320032, NM_001330125, NM_054027, NM_174953, NM_001774, NM_005505, NM_078481, NM_001322487, NM_002332, NM_015482, NM_003486, NM_170665, NM_000651, NM_003461, NM_001009944, NM_002855, NM_004996, NM_001204, NM_000876, NM_000875, NM_001150, NM_019848, NM_032242, NM_005415, NM_003045, NM_006378, NM_001294, NM_020410	406	262	7347	2.0720678374	0.091547318301	0.091547318301	0.334951528435
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	83	19.3473193473	0.00119424775465	NM_001270520, NM_001001396, NM_152879, NM_017617, NM_004104, NM_080538, NM_001330125, NM_016457, NM_001289824, NM_022338, NM_078481, NM_005505, NM_000368, NM_001291860, NM_001165928, NM_198565, NM_013444, NM_003749, NM_001014443, NM_003486, NM_014943, NM_001039469, NM_173854, NM_001172567, NM_005347, NM_000651, NM_001009944, NM_005188, NM_004530, NM_152609, NM_002855, NM_018226, NM_020210, NM_001105540, NM_032242, NM_006378, NM_004218, NM_001142864, NM_058004, NM_015205, NM_001320032, NM_003165, NM_002375, NM_000660, NM_001025159, NM_054027, NM_024776, NM_001040118, NM_020428, NM_001160233, NM_022367, NM_004281, NM_004383, NM_006035, NM_139015, NM_001320421, NM_002332, NM_001142290, NM_001030006, NM_001130004, NM_020376, NM_178582, NM_013324, NM_003461, NM_005892, NM_001256182, NM_138383, NM_001204424, NM_015241, NM_001978, NM_004996, NM_001204, NM_000875, NM_001304349, NM_001497, NM_173470, NM_002835, NM_012340, NM_005415, NM_003045, NM_001006634, NM_018984, NM_003930	406	1082	7347	1.38814501516	0.37922688201800003	0.212108435137	1.65232889084
GOTERM_CC_DIRECT	GO:0035097~histone methyltransferase complex	6	1.3986013986	0.00386489910684	NM_001197104, NM_170606, NM_014712, NM_003482, NM_014727, NM_001318240	406	20	7347	5.428817733990001	0.786705718724	0.40251582936700003	5.2560890673900005
