Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	55	32.1637426901	9.07370386581e-75	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_000998, NM_001028, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_033251, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_000978, NM_000976, NM_001010, NM_000975, NM_001316311, NM_000972, NM_012423	157	78	7039	31.613996407	6.00679195916e-72	6.00679195916e-72	1.35814482272e-71
GOTERM_BP_DIRECT	GO:0006413~translational initiation	60	35.0877192982	1.32890470027e-70	NM_001300821, NM_001253384, NM_004681, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_001028, NM_000998, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_003754, NM_033251, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001568, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_016091, NM_000978, NM_000976, NM_001010, NM_001316311, NM_000975, NM_000972, NM_012423	157	115	7039	23.391858211	8.79734911576e-68	4.39867455788e-68	1.98909405161e-67
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	57	33.3333333333	1.99473217816e-69	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001300739, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_000998, NM_001028, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_033251, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001568, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_000978, NM_000976, NM_001010, NM_000975, NM_001316311, NM_000972, NM_012423	157	101	7039	25.3025793025	1.32051270194e-66	4.40170900648e-67	2.98569935779e-66
GOTERM_BP_DIRECT	GO:0019083~viral transcription	55	32.1637426901	5.23028764854e-68	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_000998, NM_001028, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_033251, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_000978, NM_000976, NM_001010, NM_000975, NM_001316311, NM_000972, NM_012423	157	94	7039	26.2328906356	3.46245042333e-65	8.65612605833e-66	7.8286532118e-65
KEGG_PATHWAY	hsa03010:Ribosome	57	33.3333333333	1.03790817436e-58	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_000998, NM_001028, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_033251, NM_016067, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_020236, NM_000978, NM_000976, NM_001010, NM_000975, NM_001316311, NM_000972, NM_012423	104	114	3107	14.9375	1.19359440052e-56	1.19359440052e-56	1.18226186548e-55
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	58	33.918128655	3.27907256117e-58	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_001160210, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_016071, NM_000998, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_033251, NM_016067, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_020236, NM_000978, NM_000976, NM_001010, NM_000975, NM_001316311, NM_000972, NM_012423	150	160	7107	17.17525	6.754889476e-56	6.754889476e-56	4.12986513411e-55
GOTERM_BP_DIRECT	GO:0006412~translation	61	35.6725146199	6.27109650278e-57	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_001160210, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_016071, NM_001028, NM_000998, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_003952, NM_033251, NM_016067, NM_001260506, NM_001113203, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_020236, NM_000978, NM_000976, NM_001010, NM_001316311, NM_000975, NM_000972, NM_012423	157	185	7039	14.7832329144	4.15146588484e-54	8.30293176968e-55	9.38652767822e-54
GOTERM_CC_DIRECT	GO:0005840~ribosome	53	30.9941520468	1.37063951884e-52	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001019, NM_000989, NM_001025071, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001321702, NM_014445, NM_001320141, NM_002952, NM_002954, NM_016071, NM_000998, NM_001028, NM_000999, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_033251, NM_016067, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001330200, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_000978, NM_001010, NM_000975, NM_001316311, NM_000972, NM_012423	162	140	7347	17.1689153439	2.46715113392e-50	2.46715113392e-50	1.68828293005e-49
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	56	32.7485380117	8.99185866654e-50	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001436, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_000998, NM_001028, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_033251, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_000978, NM_000976, NM_001010, NM_000975, NM_001316311, NM_000972, NM_012423	157	183	7039	13.7198148342	5.95261043725e-47	9.92101739542e-48	1.34589429799e-46
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	32	18.7134502924	5.51172477374e-39	NM_033251, NM_001253384, NM_001034996, NM_007104, NM_000969, NM_000989, NM_033625, NM_000967, NM_001321018, NM_000968, NM_053275, NM_000980, NM_001330200, NM_000984, NM_000986, NM_001024921, NM_001303625, NM_001004, NM_001320141, NM_000998, NM_001315530, NM_020236, NM_000999, NM_015414, NM_000978, NM_000976, NM_000975, NM_001316311, NM_000990, NM_000972, NM_000997, NM_012423	162	53	7347	27.3822501747	9.92110459273e-37	4.96055229636e-37	6.78905775204e-36
