Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005856~cytoskeleton	20	22.7272727273	1.70227584366e-07	NM_001282992, NM_030014, NM_019405, NM_024219, NM_020590, NM_010620, NM_025854, NM_008446, NM_133780, NM_145150, NM_133851, NM_027411, NM_001114361, NM_001277100, NM_016963, NM_001177648, NM_023831, NM_173762, NM_001167730, NM_001242389	85	1113	19662	4.15665133978	3.33640527823e-05	3.33640527823e-05	0.000212656467502
GOTERM_CC_DIRECT	GO:0005874~microtubule	10	11.3636363636	1.07406140116e-05	NM_001282992, NM_030014, NM_010620, NM_020590, NM_008446, NM_173762, NM_145150, NM_133851, NM_001242389, NM_001114361	85	327	19662	7.07393416082	0.00210295733197	0.0010520320517	0.0134168754981
GOTERM_MF_DIRECT	GO:0008017~microtubule binding	8	9.09090909091	1.13858381256e-05	NM_030014, NM_019405, NM_010620, NM_008446, NM_173762, NM_145150, NM_133851, NM_001114361	68	200	17446	10.2623529412	0.00176325858623	0.00176325858623	0.0136728177934
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	9	10.2272727273	2.31193598074e-05	NM_019405, NM_001131054, NM_133780, NM_007708, NM_173762, NM_144526, NM_133851, NM_027411, NM_019710	78	277	18082	7.53207442377	0.0116303695335	0.0116303695335	0.0333434991389
GOTERM_BP_DIRECT	GO:0051301~cell division	10	11.3636363636	2.93822264932e-05	NM_019405, NM_001131054, NM_133780, NM_007708, NM_173762, NM_144526, NM_145150, NM_133851, NM_027411, NM_019710	78	374	18082	6.1984094337	0.0147576476006	0.00740625007034	0.0423742296274
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	17	19.3181818182	0.000132011083666	NM_020590, NM_011843, NM_033218, NM_008943, NM_019699, NM_025661, NM_146234, NM_184053, NM_026170, NM_134090, NM_080553, NM_025535, NM_029832, NM_009672, NM_011030, NM_019979, NM_009270	85	1323	19662	2.97233560091	0.0255439687922	0.00858820233614	0.164789700831
GOTERM_CC_DIRECT	GO:0005794~Golgi apparatus	16	18.1818181818	0.000140491672769	NM_020590, NM_033218, NM_008943, NM_008410, NM_146234, NM_184053, NM_026170, NM_053204, NM_138587, NM_009149, NM_008197, NM_025535, NM_001252475, NM_001242389, NM_001035122, NM_019979	85	1190	19662	3.11015323777	0.0271625801283	0.0068609311909	0.175367492553
GOTERM_CC_DIRECT	GO:0016020~membrane	46	52.2727272727	0.00055272265686	NM_011843, NM_010415, NM_033218, NM_008943, NM_019699, NM_008410, NM_133780, NM_010515, NM_175101, NM_026170, NM_181444, NM_134090, NM_080553, NM_173762, NM_010128, NM_021610, NM_009270, NM_019979, NM_001282992, NM_026742, NM_007874, NM_010620, NM_029391, NM_020590, NM_008446, NM_025661, NM_146234, NM_184053, NM_001114361, NM_053204, NM_025480, NM_001252220, NM_001277100, NM_001177648, NM_009149, NM_025535, NM_010686, NM_009671, NM_007708, NM_207708, NM_001242389, NM_001254735, NM_011521, NM_001035122, NM_007962, NM_011030	85	6998	19662	1.52052182977	0.102698713569	0.0214395523288	0.688299530633
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	11	12.5	0.000877735303884	NM_134090, NM_080553, NM_025535, NM_008943, NM_019699, NM_025661, NM_029832, NM_184053, NM_026170, NM_019979, NM_009270	85	710	19662	3.5837945319	0.158114841067	0.0282777607776	1.0909966291
GOTERM_BP_DIRECT	GO:0007049~cell cycle	10	11.3636363636	0.00116704807088	NM_019405, NM_001131054, NM_133780, NM_007708, NM_173762, NM_144526, NM_145150, NM_133851, NM_027411, NM_019710	78	614	18082	3.7755783847	0.446155422988	0.178774103595	1.67029261533
GOTERM_CC_DIRECT	GO:0000776~kinetochore	5	5.68181818182	0.0017478807721	NM_008943, NM_133780, NM_173762, NM_027411, NM_019710	85	120	19662	9.63823529412	0.290279734765	0.0478031427523	2.16174126686
GOTERM_CC_DIRECT	GO:0005694~chromosome	7	7.95454545455	0.00355311855011	NM_008197, NM_008446, NM_133780, NM_173762, NM_133851, NM_027411, NM_019710	85	344	19662	4.70704514364	0.502247040422	0.083512108778	4.34922134219
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	41	46.5909090909	0.00568933150975	NM_033218, NM_001131054, NM_025854, NM_008908, NM_133780, NM_010515, NM_145150, NM_133851, NM_027411, NM_178377, NM_016963, NM_010910, NM_080553, NM_001025102, NM_173762, NM_001167730, NM_010021, NM_001282992, NM_030014, NM_019405, NM_001270537, NM_010620, NM_020590, NM_008446, NM_146234, NM_001190449, NM_001114361, NM_053204, NM_001252220, NM_019710, NM_001277100, NM_001177648, NM_009671, NM_023831, NM_007708, NM_144526, NM_025679, NM_009672, NM_001242389, NM_001252475, NM_145611	85	6631	19662	1.43025539578	0.673162826108	0.116845212808	6.87959760194
GOTERM_CC_DIRECT	GO:0000139~Golgi membrane	7	7.95454545455	0.00758260755696	NM_009149, NM_033218, NM_008943, NM_008410, NM_146234, NM_026170, NM_053204	85	403	19662	4.0179243906	0.775044872346	0.138590633576	9.07058362901
GOTERM_BP_DIRECT	GO:0007283~spermatogenesis	7	7.95454545455	0.00775435962689	NM_030014, NM_019405, NM_007708, NM_028937, NM_010515, NM_001167730, NM_010021	78	407	18082	3.98708498708	0.980532288169	0.62646721382	10.6214266981
GOTERM_BP_DIRECT	GO:0000226~microtubule cytoskeleton organization	4	4.54545454545	0.00798808223044	NM_001282992, NM_010910, NM_145150, NM_133851	78	96	18082	9.65918803419	0.982719902819	0.555870893472	10.9246280783
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	8	9.09090909091	0.00991900243028	NM_030014, NM_001177648, NM_010910, NM_010515, NM_013834, NM_001167730, NM_001242389, NM_019979	68	625	17446	3.28395294118	0.786713967461	0.538170992098	11.2827367951
GOTERM_BP_DIRECT	GO:0015031~protein transport	8	9.09090909091	0.012964849312	NM_030014, NM_134090, NM_029391, NM_025535, NM_008943, NM_133780, NM_023831, NM_053204	78	592	18082	3.13270963271	0.998643857515	0.667301466203	17.1580162319
GOTERM_BP_DIRECT	GO:0016192~vesicle-mediated transport	5	5.68181818182	0.0129734205268	NM_001177648, NM_134090, NM_025535, NM_001242389, NM_026170	78	213	18082	5.4417960756	0.998649803362	0.610904043621	17.1683924167
GOTERM_MF_DIRECT	GO:0043515~kinetochore binding	2	2.27272727273	0.0152747266077	NM_173762, NM_027411	68	4	17446	128.279411765	0.907989353061	0.548546842599	16.8775429009
GOTERM_BP_DIRECT	GO:0006936~muscle contraction	3	3.40909090909	0.0192159509789	NM_172259, NM_016963, NM_024219	78	50	18082	13.9092307692	0.999945532504	0.706899083899	24.4125204062
GOTERM_CC_DIRECT	GO:0005871~kinesin complex	3	3.40909090909	0.0208290749891	NM_010620, NM_008446, NM_173762	85	52	19662	13.3452488688	0.983846456005	0.31274919652	23.1223677118
GOTERM_BP_DIRECT	GO:0051984~positive regulation of chromosome segregation	2	2.27272727273	0.0211136407383	NM_173762, NM_001167730	78	5	18082	92.7282051282	0.999979557595	0.698735471656	26.4949613061
