Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	7	26.9230769231	0.0119145973113	NM_001271848, NM_001320731, NM_001330482, NM_001321981, NM_001199324, NM_152283, NM_016422	22	677	7039	3.30824493084	0.588100021659	0.588100021659	11.7904758686
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	6	23.0769230769	0.141914604547	NM_001271848, NM_001320731, NM_001330482, NM_001321981, NM_001199324, NM_152283	22	947	7039	2.02716713065	0.9999879424860001	0.9965276069050001	79.8495587515
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	2	7.692307692310001	0.385288346954	NM_023009, NM_001282437	22	161	7039	3.97459062676	1.0	0.999993873266	99.3861109802
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	2	7.692307692310001	0.548245304839	NM_001282437, NM_025114	22	261	7039	2.451758969	1.0	0.9999995872380001	99.9755671677
GOTERM_BP_DIRECT	GO:0015031~protein transport	2	7.692307692310001	0.548245304839	NM_001099692, NM_025114	22	261	7039	2.451758969	1.0	0.9999995872380001	99.9755671677
-	-	-	-	-	-	-	-	-	-	-	-	-
GOTERM_CC_DIRECT	GO:0000930~gamma-tubulin complex	2	7.692307692310001	0.0217177586161	NM_001282437, NM_025114	24	7	7347	87.4642857143	0.627704620705	0.627704620705	18.656694804
GOTERM_CC_DIRECT	GO:0043234~protein complex	4	15.3846153846	0.0447001961233	NM_002748, NM_001282437, NM_025114, NM_022474	24	257	7347	4.76459143969	0.8722720369410001	0.642609508997	34.9530577628
GOTERM_CC_DIRECT	GO:0005622~intracellular	5	19.2307692308	0.0665468142441	NM_001271848, NM_001330482, NM_001321981, NM_001199324, NM_001321378	24	499	7347	3.06738476954	0.95490126082	0.644050707944	47.6712803271
GOTERM_CC_DIRECT	GO:0005634~nucleus	13	50.0	0.166043198597	NM_005390, NM_001287757, NM_001271848, NM_001320731, NM_002748, NM_001330482, NM_001321981, NM_001199324, NM_152283, NM_001321378, NM_003772, NM_001282437, NM_025114	24	2947	7347	1.3503987105500002	0.9997172126530001	0.8703223913339999	81.869607467
GOTERM_CC_DIRECT	GO:0005813~centrosome	3	11.538461538499998	0.262463026535	NM_001007022, NM_001282437, NM_025114	24	318	7347	2.88797169811	0.999998877282	0.9354265230869999	94.2905546872
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	3	11.538461538499998	0.42138730194799995	NM_001099692, NM_032270, NM_006364	24	455	7347	2.01840659341	0.99999999998	0.983483816389	99.4173393716
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	5	19.2307692308	0.44553916564999996	NM_023009, NM_032270, NM_001321378, NM_198682, NM_022474	24	1082	7347	1.41462569316	0.999999999997	0.9774339461820001	99.60981128440001
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	2	7.692307692310001	0.566757007722	NM_032270, NM_198682	24	262	7347	2.33683206107	1.0	0.990950700746	99.9616557648
GOTERM_CC_DIRECT	GO:0016020~membrane	5	19.2307692308	0.664880413297	NM_032270, NM_001321378, NM_032859, NM_025114, NM_016422	24	1402	7347	1.09174393723	1.0	0.9957733230179999	99.99657376020001
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	5	19.2307692308	0.698038038084	NM_032270, NM_001300842, NM_032859, NM_152852, NM_198682	24	1459	7347	1.0490918437299999	1.0	0.995431379619	99.99871384229999
-	-	-	-	-	-	-	-	-	-	-	-	-
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	6	23.0769230769	0.0125231852489	NM_001271848, NM_001320731, NM_001330482, NM_001321981, NM_001199324, NM_152283	23	468	7107	3.9615384615400004	0.403509945001	0.403509945001	10.950223145699999
GOTERM_MF_DIRECT	GO:0003677~DNA binding	6	23.0769230769	0.10982190407199999	NM_001271848, NM_001330482, NM_001321981, NM_001199324, NM_003772, NM_016422	23	841	7107	2.2045184304400003	0.991516930015	0.907896417087	65.7191413516
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	6	23.0769230769	0.14719354854900002	NM_001271848, NM_001320731, NM_001330482, NM_001321981, NM_001199324, NM_152283	23	922	7107	2.0108459869799997	0.998538261917	0.8865102810259999	76.8985897118
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	2	7.692307692310001	0.846251951629	NM_006364, NM_016422	23	579	7107	1.06735751295	1.0	0.999999995378	99.99999671559999
-	-	-	-	-	-	-	-	-	-	-	-	-
KEGG_PATHWAY	hsa01130:Biosynthesis of antibiotics	2	7.692307692310001	0.252521862927	NM_005390, NM_001304430	7	147	3107	6.038872691930001	0.992901372174	0.992901372174	87.8440720255
KEGG_PATHWAY	hsa01100:Metabolic pathways	3	11.538461538499998	0.37990949484399994	NM_005390, NM_198141, NM_001321378	7	666	3107	1.99935649936	0.999703696771	0.982786539294	96.8575520558
-	-	-	-	-	-	-	-	-	-	-	-	-
