Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	55	32.1637426901	9.073703865809997e-75	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_000998, NM_001028, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_033251, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_000978, NM_000976, NM_001010, NM_000975, NM_001316311, NM_000972, NM_012423	157	78	7039	31.613996407	6.006791959159999e-72	6.006791959159999e-72	1.3581448227199997e-71
GOTERM_BP_DIRECT	GO:0006413~translational initiation	60	35.0877192982	1.3289047002699998e-70	NM_001300821, NM_001253384, NM_004681, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_001028, NM_000998, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_003754, NM_033251, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001568, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_016091, NM_000978, NM_000976, NM_001010, NM_001316311, NM_000975, NM_000972, NM_012423	157	115	7039	23.391858211	8.79734911576e-68	4.39867455788e-68	1.9890940516099997e-67
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	57	33.3333333333	1.9947321781599996e-69	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001300739, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_000998, NM_001028, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_033251, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001568, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_000978, NM_000976, NM_001010, NM_000975, NM_001316311, NM_000972, NM_012423	157	101	7039	25.3025793025	1.32051270194e-66	4.401709006479999e-67	2.98569935779e-66
GOTERM_BP_DIRECT	GO:0019083~viral transcription	55	32.1637426901	5.23028764854e-68	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_000998, NM_001028, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_033251, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_000978, NM_000976, NM_001010, NM_000975, NM_001316311, NM_000972, NM_012423	157	94	7039	26.2328906356	3.4624504233299996e-65	8.656126058329998e-66	7.828653211799998e-65
GOTERM_BP_DIRECT	GO:0006412~translation	61	35.6725146199	6.271096502779999e-57	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_001160210, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_016071, NM_001028, NM_000998, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_003952, NM_033251, NM_016067, NM_001260506, NM_001113203, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_020236, NM_000978, NM_000976, NM_001010, NM_001316311, NM_000975, NM_000972, NM_012423	157	185	7039	14.783232914400001	4.151465884839999e-54	8.302931769679998e-55	9.386527678219998e-54
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	56	32.7485380117	8.991858666539998e-50	NM_001253384, NM_001021, NM_001034996, NM_007104, NM_001017, NM_001016, NM_001019, NM_001025071, NM_000989, NM_001012, NM_001015, NM_001321018, NM_053275, NM_001321485, NM_000980, NM_000984, NM_000986, NM_001024921, NM_001436, NM_001321702, NM_001320141, NM_002952, NM_002954, NM_000998, NM_001028, NM_000999, NM_001315530, NM_015414, NM_001025, NM_001024, NM_001997, NM_000990, NM_000997, NM_033251, NM_001260506, NM_022551, NM_000969, NM_033625, NM_000967, NM_000968, NM_001142285, NM_001330200, NM_001009, NM_001303625, NM_001004, NM_001030001, NM_001007, NM_001008, NM_001304288, NM_000978, NM_000976, NM_001010, NM_000975, NM_001316311, NM_000972, NM_012423	157	183	7039	13.719814834200001	5.9526104372500005e-47	9.921017395419999e-48	1.3458942979899998e-46
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	9	5.26315789474	7.75148385488e-09	NM_001300821, NM_001315530, NM_015414, NM_001253384, NM_001024921, NM_053275, NM_001316311, NM_001004, NM_001320141	157	21	7039	19.2147406733	5.13146919512e-06	7.33068640013e-07	1.16023592067e-05
GOTERM_BP_DIRECT	GO:0000027~ribosomal large subunit assembly	8	4.6783625731	2.2214173138599996e-08	NM_000969, NM_000967, NM_000976, NM_000975, NM_001303625, NM_000984, NM_001320141, NM_000986	157	16	7039	22.417197452199996	1.47056746708e-05	1.83822116051e-06	3.32499936584e-05
GOTERM_BP_DIRECT	GO:0000028~ribosomal small subunit assembly	5	2.9239766081900003	0.000100035370668	NM_001009, NM_001025071, NM_001321485, NM_001021, NM_001304288	157	12	7039	18.6809978769	0.06408135867630001	0.00733151766586	0.14962758802
GOTERM_BP_DIRECT	GO:0006414~translational elongation	5	2.9239766081900003	0.00026187453152000004	NM_001402, NM_001404, NM_001961, NM_001959, NM_001004	157	15	7039	14.9447983015	0.159185020021	0.0171889198392	0.39125565430299997
